,Brands,Styles,Prices,Reduced_Prices,Available_in_Multiple_Colors
1467,Nicce,Sports Slide,105 ,105 SAR,0
1468,Seventy Five,Pull On Mid Top Sneakers,159 ,159 SAR,1
1471,Lacoste,Graduate Sneakers,439 ,439 SAR,0
1472,Comfort Plus,Double Strap Buckled Sandals,175 ,175 SAR,0
1473,Aldo,Acaodda Lace ups,539 ,539 SAR,0
1474,Aldo,Garvey Slip ons,339 ,339 SAR,1
1476,adidas Originals,Samba OG FT,475 ,475 SAR,0
1477,Puma,Leadcat Diamond Supply,280 ,280 SAR,0
1478,Aldo,Edudien Sandals,399 ,399 SAR,0
1482,New Balance,500,315 ,315 SAR,0
1483,Topman,Suede Mason Loafers,249 ,249 SAR,1
1484,Nike,Benassi JDI SE Slides,149 ,149 SAR,1
1485,Vans,Harry Potter Hufflepuff Classic Slip Ons,269 ,269 SAR,0
1486,adidas Originals,Tubular Dusk,475 ,475 SAR,0
1490,Puma,Hybrid Runner,460 ,460 SAR,0
1491,Fila,Dragster 98,540 ,540 SAR,0
1492,Puma,Future 19.4 FG,255 ,255 SAR,0
1493,Tommy Jeans,Denim Pool Slides,209 ,209 SAR,0
1494,Skechers,Drafter,245 ,245 SAR,0
1495,Nike,PG 3,599 ,599 SAR,0
1496,Nike,SB Zoom Janoski RM SE,469 ,469 SAR,0
1497,Nike,Legend 7 Club IC,279 ,279 SAR,0
1498,Puma,Cali-0 Diamond Supply,610 ,610 SAR,0
1499,Lacoste,Esparre Sneakers,445 ,445 SAR,0
1500,Vans,Harry Potter Gryffindor SK8-Hi,329 ,329 SAR,0
1502,Skechers,Downtown Ultra,295 ,295 SAR,0
1505,Converse,Star Replay,199 ,199 SAR,0
1506,Reebok,Energylux,255 ,255 SAR,0
1507,Topman,Canvas Felix Trainers,175 ,175 SAR,0
1508,Umbro,Exert Max,360 ,360 SAR,1
1509,adidas,Nemeziz 18.3 TF,400 ,400 SAR,0
1512,New Balance,997S,629 ,629 SAR,0
1513,Converse,Chuck Taylor All Star,269 ,269 SAR,0
1514,Seventy Five,Transparent Sneakers,139 ,139 SAR,0
1515,adidas,Pro Spark 2018,300 ,300 SAR,0
1517,Seventy Five,Rubber Slip Ons,119 ,119 SAR,0
1520,Under Armour,Spawn Low,559 ,559 SAR,0
1521,Puma,One 19.4 FG,240 ,240 SAR,0
1522,Puma,Suede Diamond Supply,495 ,495 SAR,0
1524,Aldo,Wigomwen Slip ons,439 ,439 SAR,0
1526,Aldo,Baecci Sandals,339 ,339 SAR,1
1527,Asics,Gelsaga,490 ,490 SAR,0
1528,Under Armour,Forge 96 FEB OG,599 ,599 SAR,0
1529,Topman,Essential Sneakers,199 ,199 SAR,0
1530,Reebok,Sprint TR II,445 ,445 SAR,0
1532,Puma,Basket Skate,410 ,410 SAR,0
1533,Vans,Slip-On 47 V,289 ,289 SAR,0
1534,Umbro,Exert Max,360 ,360 SAR,0
1535,Aldo,Nayeli Slides,139 ,139 SAR,0
1536,Asics,Gelsaga Sou,395 ,395 SAR,0
1538,adidas Originals,Adilette Slides,190 ,190 SAR,1
1539,Skechers,Go Walk Max- Amazing,255 ,255 SAR,0
1540,adidas,Terrex Brushwood,475 ,475 SAR,0
1541,Vans,Era 59,249 ,249 SAR,0
1543,Robert Wood,Croc Embossed Formal Slip Ons,139 ,139 SAR,0
1544,Robert Wood,Faux Leather Formal Slip Ons,139 ,139 SAR,1
1545,Seventy Five,Fleece Bedroom Slippers,49 ,49 SAR,0
1546,Diesel,D-Velow Laced Sneakers,805 ,805 SAR,0
1547,Reebok,Workout Plus MU,480 ,480 SAR,0
1549,Call It Spring,Algo Sandals,209 ,209 SAR,1
1551,Havaianas,Camo Flip Flops,95 ,95 SAR,0
1553,Ted Baker,Duglas Nubuck AM Lace Ups,715 ,715 SAR,0
1554,Havaianas,Aloha Flip Flops,95 ,95 SAR,0
1556,adidas Originals,POD S3.1,599 ,599 SAR,0
1557,Burton,Laced Moccasins,99 ,99 SAR,1
1558,Reebok,Classics Leather Vector,415 ,415 SAR,0
1559,Ted Baker,Duglas Nubuck Lace Ups,715 ,715 SAR,0
1563,Reebok,Classic Leather,445 ,445 SAR,0
1565,Nike,Phantom VSN Club DF FG,369 ,369 SAR,0
1566,Puma,Future 19.4 TF,255 ,255 SAR,0
1567,Brave Soul,Mayfield Slip Ons,139 ,139 SAR,0
1569,Slydes,Cali Basic Pool Slides,115 ,115 SAR,0
1571,Cotton On,Bondi Flipflops,25 ,25 SAR,0
1572,Burton,Mansfield Embossed Driver Loafers,249 ,249 SAR,0
1574,Call It Spring,Mireirwen Double Strap Sandals,209 ,209 SAR,0
1575,Asics,GEL-Cumulus 20,625 ,625 SAR,0
1576,adidas,UltraBoost Laceless,850 ,850 SAR,0
1577,Vans,SK8-Hi,299 ,299 SAR,0
1579,Aldo,Olardon Sneakers,339 ,339 SAR,0
1581,Vans,Anaheim Factory Era 95 DX,269 ,269 SAR,0
1583,Havaianas,Classic Flip Flops,85 ,85 SAR,0
1584,Burton,Shoot Sneakers,129 ,129 SAR,0
1585,Topman,Faux Suede Magic Derby Shoes,249 ,249 SAR,0
1586,Vans,David Bowie Era,289 ,289 SAR,0
1587,adidas,X 18.4 FG,275 ,275 SAR,0
1591,adidas Originals,Adilette Slides,190 ,190 SAR,0
1593,Jack & Jones,Neptune FusionSneakers,295 ,295 SAR,1
1594,Call It Spring,Thorelian Slip ons,279 ,279 SAR,0
1596,Robert Wood,Wing Cap Brogue Casual Slip Ons,119 ,119 SAR,0
1597,Topman,Halt Espadrilles,175 ,175 SAR,0
1598,Nike,Phantom VSN Elite DF FG,1299 ,1299 SAR,1
1599,Burton,Formal Boots,149 ,149 SAR,0
1600,Havaianas,Kids Wild Slyde,75 ,75 SAR,0
1601,Havaianas,Kids Camo Print Slyde,75 ,75 SAR,0
1602,Havaianas,Kids Logo Slyde,95 ,95 SAR,0
1604,Crep protect,Ultimate Rain and Stain Resistant Spray,70 ,70 SAR,0
1605,Sneaker Lab,Sneaker Cleaner,32 ,32 SAR,0
1606,Sneaker Lab,Sneaker Protector,32 ,32 SAR,0
1607,Jason Markk,4 oz. Premium Kit Shoe Cleaner,90 ,90 SAR,0
1608,Sneaker Lab,Odor Protector,32 ,32 SAR,0
1609,Crep protect,Shoe Shaper,65 ,65 SAR,0
1610,Crep protect,Shoe Freshener Pills,50 ,50 SAR,0
1611,Crep protect,New Era Headwear Protection Spray,75 ,75 SAR,0
1612,Crep protect,Shoe Crate,195 ,195 SAR,0
1613,Crep protect,Suede & Nubuck Eraser,50 ,50 SAR,0
1614,Jason Markk,Repel Pump Spray,80 ,80 SAR,0
1615,Crep protect,Cure Shoe Cleaner Refill,65 ,65 SAR,0
1616,Sneaker Lab,Sneaker Cleaner Kit,53 ,53 SAR,0
1617,Sneaker Lab,Premium Sneaker Cleaner Kit,90 ,90 SAR,0
1618,Sneaker Lab,Leather Care,32 ,32 SAR,0
1619,Jason Markk,Standard Shoe Cleaning Brush,45 ,45 SAR,0
1620,Sneaker Lab,Deluxe Sneaker Cleaner Kit,153 ,153 SAR,0
1621,Sneaker Lab,Sneaker Wipes,48 ,48 SAR,0
1622,Jason Markk,RTU Foam,90 ,90 SAR,0
1623,Steve Madden,Maydays Cross Strap Slide Sandals,"299 
                     
                    150 ","299 SAR
                     
                    150 SAR",0
1624,Reserved,Contrast Sole Classic Sneakers,"145 
                     
                    118 ","145 SAR
                     
                    118 SAR",0
1625,Steve Madden,Fiji Sandals,"399 
                     
                    200 ","399 SAR
                     
                    200 SAR",0
1626,Steve Madden,Belarus Sandals,"399 
                     
                    299 ","399 SAR
                     
                    299 SAR",0
1627,Le Confort,Embossed Slip Ons,"449 
                     
                    225 ","449 SAR
                     
                    225 SAR",0
1628,adidas,X Tango 18.4 TF,"275 
                     
                    206 ","275 SAR
                     
                    206 SAR",0
1629,Sacoor Brothers,Laced Driver Loafers,"895 
                     
                    537 ","895 SAR
                     
                    537 SAR",1
1630,Steve Madden,Miami Mule Loafers,"449 
                     
                    337 ","449 SAR
                     
                    337 SAR",1
1631,Aldo,Abruzzino Slip ons,"299 
                     
                    179 ","299 SAR
                     
                    179 SAR",0
1632,Call It Spring,Johen Slides,"169 
                     
                    110 ","169 SAR
                     
                    110 SAR",1
1633,Reserved,California Slides,"125 
                     
                    102 ","125 SAR
                     
                    102 SAR",0
1634,Aldo,Derivia Sandals,"369 
                     
                    258 ","369 SAR
                     
                    258 SAR",0
1635,Polo Ralph Lauren,Whitlebury II Flip Flops,"150 
                     
                    113 ","150 SAR
                     
                    113 SAR",1
1636,Le Confort,Wide Strap Sandals,"399 
                     
                    239 ","399 SAR
                     
                    239 SAR",0
1638,Only & Sons,Essential Flip Flops,"65 
                     
                    49 ","65 SAR
                     
                    49 SAR",1
1639,Steve Madden,Bahamas Loafers,"479 
                     
                    359 ","479 SAR
                     
                    359 SAR",0
1640,Sacoor Brothers,Color Block Laced Driver Loafers,"895 
                     
                    537 ","895 SAR
                     
                    537 SAR",1
1641,Steve Madden,Cyprus Loafers,"479 
                     
                    240 ","479 SAR
                     
                    240 SAR",0
1647,Reserved,Color Block Slides,"125 
                     
                    102 ","125 SAR
                     
                    102 SAR",0
1648,Only & Sons,Essential Flip Flops,"65 
                     
                    42 ","65 SAR
                     
                    42 SAR",1
1649,Ecco,Melbourne Slip ons,"649 
                     
                    487 ","649 SAR
                     
                    487 SAR",0
1651,Reserved,Plimsoll Slip Ons,"145 
                     
                    118 ","145 SAR
                     
                    118 SAR",0
1652,Steve Madden,Croatia Mule Loafers,"479 
                     
                    240 ","479 SAR
                     
                    240 SAR",0
1653,Le Confort,Formal Loafers,"449 
                     
                    225 ","449 SAR
                     
                    225 SAR",1
1655,Le Confort,Formal Slip ons,"399 
                     
                    200 ","399 SAR
                     
                    200 SAR",0
1656,Call It Spring,Creber Flip Flops,"129 
                     
                    90 ","129 SAR
                     
                    90 SAR",0
1657,Le Confort,Formal Slip ons,"549 
                     
                    329 ","549 SAR
                     
                    329 SAR",0
1658,Le Confort,Formal Loafers,"499 
                     
                    299 ","499 SAR
                     
                    299 SAR",0
1659,Le Confort,Wide Strap Sandals,"349 
                     
                    209 ","349 SAR
                     
                    209 SAR",1
1660,Le Confort,Formal Lace Ups,"399 
                     
                    200 ","399 SAR
                     
                    200 SAR",0
1661,Le Confort,Casual Slip Ons,"249 
                     
                    125 ","249 SAR
                     
                    125 SAR",1
1662,Diesel,S-Millenium Sneakers,"999 
                     
                    599 ","999 SAR
                     
                    599 SAR",0
1664,Asics,GEL-Lyte,"415 
                     
                    270 ","415 SAR
                     
                    270 SAR",0
1665,Polo Ralph Lauren,Camilo Sneakers,"720 
                     
                    468 ","720 SAR
                     
                    468 SAR",0
1666,Le Confort,Mule Loafers,"399 
                     
                    239 ","399 SAR
                     
                    239 SAR",0
1667,Hype,Crest One Strap,"85 
                     
                    51 ","85 SAR
                     
                    51 SAR",1
1668,Reebok,Pyro,"425 
                     
                    319 ","425 SAR
                     
                    319 SAR",0
1669,Le Confort,Formal Slip ons,"449 
                     
                    225 ","449 SAR
                     
                    225 SAR",1
1670,Steve Madden,Versus Sneakers,"349 
                     
                    227 ","349 SAR
                     
                    227 SAR",0
1671,EA7 Emporio Armani,Logo Strap Casual Slides,"309 
                     
                    201 ","309 SAR
                     
                    201 SAR",0
1672,Converse,Chuck Taylor All Star 1970s,"346 
                     
                    225 ","346 SAR
                     
                    225 SAR",1
1673,Steve Madden,Formal Slip ons,"449 
                     
                    314 ","449 SAR
                     
                    314 SAR",1
1674,Le Confort,Casual Sneakers,"299 
                     
                    150 ","299 SAR
                     
                    150 SAR",0
1675,Le Confort,Formal Loafers,"499 
                     
                    299 ","499 SAR
                     
                    299 SAR",1
1676,Ecco,Vitrus I Slip Ons,"999 
                     
                    749 ","999 SAR
                     
                    749 SAR",0
1678,Selected Homme,Eric Sneakers,"245 
                     
                    184 ","245 SAR
                     
                    184 SAR",0
1679,Asics,GEL - Saga,"465 
                     
                    279 ","465 SAR
                     
                    279 SAR",1
1680,Le Confort,Formal Slip Ons,"449 
                     
                    225 ","449 SAR
                     
                    225 SAR",0
1681,Le Confort,Double Strap Buckled Sandals,"599 
                     
                    359 ","599 SAR
                     
                    359 SAR",0
1682,Steve Madden,Blinker Mule Loafers,"479 
                     
                    287 ","479 SAR
                     
                    287 SAR",1
1683,Onitsuka Tiger,OK Basketball MT,"395 
                     
                    257 ","395 SAR
                     
                    257 SAR",0
1685,Ecco,Melbourne Lace ups,"649 
                     
                    487 ","649 SAR
                     
                    487 SAR",1
1686,Ecco,Helsinki Lace Ups,"649 
                     
                    487 ","649 SAR
                     
                    487 SAR",0
1687,Asics,GEL-Lyte,"415 
                     
                    311 ","415 SAR
                     
                    311 SAR",0
1688,Hype,Script Flip Flops,"69 
                     
                    41 ","69 SAR
                     
                    41 SAR",1
1689,Diesel,S-Kbay Sneakers,"919 
                     
                    689 ","919 SAR
                     
                    689 SAR",1
1690,Lyle & Scott,Gemmill Sneakers,"499 
                     
                    324 ","499 SAR
                     
                    324 SAR",0
1691,Ecco,Vitrus I Lace Ups,"999 
                     
                    749 ","999 SAR
                     
                    749 SAR",0
1692,Aldo,Nydeliviel Thong,"199 
                     
                    119 ","199 SAR
                     
                    119 SAR",0
1693,Aldo,Qyllan Flip Flops,"309 
                     
                    192 ","309 SAR
                     
                    192 SAR",0
1694,Steve Madden,Rampart Slipons,"399 
                     
                    219 ","399 SAR
                     
                    219 SAR",0
1695,New Look,Alden Desert Boots,"159 
                     
                    103 ","159 SAR
                     
                    103 SAR",0
1696,Slydes,Tazer Pool Slide,"119 
                     
                    64 ","119 SAR
                     
                    64 SAR",1
1697,Brave Soul,Striped Flip Flops,"29 
                     
                    19 ","29 SAR
                     
                    19 SAR",1
1698,Ecco,Collin 2.0 Sneakers,"699 
                     
                    524 ","699 SAR
                     
                    524 SAR",0
1699,Steve Madden,Bali Cross Strap Sandals,"449 
                     
                    225 ","449 SAR
                     
                    225 SAR",1
1700,Crime London,Force Sneakers,"855 
                     
                    470 ","855 SAR
                     
                    470 SAR",0
1701,Le Confort,Double Strap Buckled Sandals,"549 
                     
                    329 ","549 SAR
                     
                    329 SAR",0
1702,Aldo,Rinazzo Sneaker,"319 
                     
                    207 ","319 SAR
                     
                    207 SAR",1
1703,Crime London,Fuse Sneakers,"899 
                     
                    539 ","899 SAR
                     
                    539 SAR",0
1704,Ecco,Vitrus II Lace Ups,"999 
                     
                    749 ","999 SAR
                     
                    749 SAR",0
1705,Steve Madden,Hungary Sandals,"399 
                     
                    200 ","399 SAR
                     
                    200 SAR",1
1706,Aldo,Korema Slip Ons,"469 
                     
                    305 ","469 SAR
                     
                    305 SAR",0
1707,Crime London,Yeyo Sneakers,"1059 
                     
                    688 ","1059 SAR
                     
                    688 SAR",0
1708,Le Confort,Formal Slip ons,"499 
                     
                    299 ","499 SAR
                     
                    299 SAR",0
1709,Ecco,Vitrus Artisan I Slip Ons,"1499 
                     
                    1124 ","1499 SAR
                     
                    1124 SAR",0
1710,Selected Homme,Duran Retro Sneakers,"475 
                     
                    356 ","475 SAR
                     
                    356 SAR",0
1711,Ecco,Collin 2.0 Slip Ons,"699 
                     
                    524 ","699 SAR
                     
                    524 SAR",0
1712,Puma,California Coogi,"690 
                     
                    345 ","690 SAR
                     
                    345 SAR",0
1713,Hero's Heroine,Logo Casual Sandals,"169 
                     
                    110 ","169 SAR
                     
                    110 SAR",1
1714,Aldo,Polidori Slip Ons,"329 
                     
                    263 ","329 SAR
                     
                    263 SAR",0
1715,Tommy Hilfiger,Casual Sneakers,"475 
                     
                    380 ","475 SAR
                     
                    380 SAR",0
1717,Le Confort,Wide Strap Sandals,"349 
                     
                    209 ","349 SAR
                     
                    209 SAR",0
1719,Jack & Jones,Austin Denim Stripe Sneakers,"185 
                     
                    120 ","185 SAR
                     
                    120 SAR",0
1720,Lyle & Scott,Campbell Sneakers,"449 
                     
                    337 ","449 SAR
                     
                    337 SAR",0
1721,Aldo,Reciso Lace Ups,"549 
                     
                    439 ","549 SAR
                     
                    439 SAR",1
1722,adidas,Predator Tango 18.3 TF,"375 
                     
                    281 ","375 SAR
                     
                    281 SAR",0
1724,Seventy Five,Chunky Dad Sneakers,"149 
                     
                    104 ","149 SAR
                     
                    104 SAR",0
1725,Puma,California,"410 
                     
                    308 ","410 SAR
                     
                    308 SAR",0
1727,Seventy Five,Casual Brogue Sneakers,"119 
                     
                    77 ","119 SAR
                     
                    77 SAR",1
1729,Ecco,Collin 2.0 Slip ons,"649 
                     
                    487 ","649 SAR
                     
                    487 SAR",0
1730,Le Confort,Casual Lace Ups,"399 
                     
                    200 ","399 SAR
                     
                    200 SAR",0
1731,adidas Originals,Yung-96,"475 
                     
                    333 ","475 SAR
                     
                    333 SAR",0
1733,Seventy Five,Casual Sneakers,"109 
                     
                    71 ","109 SAR
                     
                    71 SAR",0
1735,Slydes,Double Strap Sandals,"95 
                     
                    62 ","95 SAR
                     
                    62 SAR",0
1736,adidas,Nemeziz 18.4 FXG,"275 
                     
                    193 ","275 SAR
                     
                    193 SAR",0
1738,Steve Madden,Canton Slip Ons,"249 
                     
                    125 ","249 SAR
                     
                    125 SAR",0
1739,Seventy Five,Casual Sneakers,"150 
                     
                    60 ","150 SAR
                     
                    60 SAR",0
1741,Havaianas,Kids Harry Potter Slyde,"95 
                     
                    62 ","95 SAR
                     
                    62 SAR",0
1742,Hype,Estate Camo Flipflop,"69 
                     
                    41 ","69 SAR
                     
                    41 SAR",0
1744,Havaianas,Classic Flip Flops,"85 
                     
                    55 ","85 SAR
                     
                    55 SAR",1
1746,adidas,X Tango 18.3 IN,"375 
                     
                    244 ","375 SAR
                     
                    244 SAR",0
1747,adidas,Predator Tango 18.3,"400 
                     
                    270 ","400 SAR
                     
                    270 SAR",0
1748,Robert Wood,Faux Leather Casual Flip Flops,"69 
                     
                    45 ","69 SAR
                     
                    45 SAR",1
1749,Le Confort,Cross Strap Sandals,"379 
                     
                    190 ","379 SAR
                     
                    190 SAR",1
1750,Aldo,Royton Slip On,"499 
                     
                    299 ","499 SAR
                     
                    299 SAR",1
1751,Le Confort,Formal Slip ons,"399 
                     
                    239 ","399 SAR
                     
                    239 SAR",0
1752,Le Confort,Wide Strap Sandals,"399 
                     
                    239 ","399 SAR
                     
                    239 SAR",1
1753,Seventy Five,Casual Slipons,"160 
                     
                    72 ","160 SAR
                     
                    72 SAR",1
1754,adidas,Duramo Slide,"115 
                     
                    92 ","115 SAR
                     
                    92 SAR",0
1755,Steve Madden,Amsterdam Loafers,"449 
                     
                    225 ","449 SAR
                     
                    225 SAR",1
1756,Asics,HyperGEL-Lyte,"550 
                     
                    358 ","550 SAR
                     
                    358 SAR",0
1757,adidas,Predator 18.4 FG,"275 
                     
                    200 ","275 SAR
                     
                    200 SAR",0
1758,Steve Madden,Willing Sneakers,"399 
                     
                    279 ","399 SAR
                     
                    279 SAR",0
1759,Polo Ralph Lauren,Thompson Slip On Sneaker,"380 
                     
                    247 ","380 SAR
                     
                    247 SAR",1
1761,Steve Madden,Shockah Sneakers,"379 
                     
                    190 ","379 SAR
                     
                    190 SAR",0
1762,Reserved,Essential Slides,"125 
                     
                    102 ","125 SAR
                     
                    102 SAR",0
1763,Timberland,"6"" Premium Boot","699 
                     
                    559 ","699 SAR
                     
                    559 SAR",0
1764,Steve Madden,Andorra Wide Strap Sandals,"399 
                     
                    299 ","399 SAR
                     
                    299 SAR",0
1765,Asics,Gelsaga Sou,"395 
                     
                    296 ","395 SAR
                     
                    296 SAR",0
1766,Asics,GEL-Kayano 5.1,"490 
                     
                    368 ","490 SAR
                     
                    368 SAR",1
1767,Aldo,Vilfredo Espadrille,"289 
                     
                    231 ","289 SAR
                     
                    231 SAR",0
1768,Reserved,Trampki Sneakers,"145 
                     
                    118 ","145 SAR
                     
                    118 SAR",0
1769,Reebok,Aztrek,"520 
                     
                    390 ","520 SAR
                     
                    390 SAR",1
1771,Hype,Fade Flipflops,"69 
                     
                    36 ","69 SAR
                     
                    36 SAR",0
1772,Steve Madden,Cuba Sandals,"449 
                     
                    225 ","449 SAR
                     
                    225 SAR",0
1773,Seventy Five,Casual Sneakers,"130 
                     
                    59 ","130 SAR
                     
                    59 SAR",0
1774,Seventy Five,Casual Sneakers,"99 
                     
                    59 ","99 SAR
                     
                    59 SAR",1
1775,adidas Originals,Continental 80,"475 
                     
                    309 ","475 SAR
                     
                    309 SAR",0
1777,adidas Originals,Samba RM,"600 
                     
                    450 ","600 SAR
                     
                    450 SAR",0
1779,Steve Madden,Belgium Sandals,"399 
                     
                    200 ","399 SAR
                     
                    200 SAR",0
1780,Kurt Geiger London,Theo Sneakers,"619 
                     
                    340 ","619 SAR
                     
                    340 SAR",0
1781,Reebok,Sock Run_R,"1045 
                     
                    679 ","1045 SAR
                     
                    679 SAR",0
1782,Ecco,Terra Sandals,"649 
                     
                    487 ","649 SAR
                     
                    487 SAR",0
1783,Tommy Hilfiger,Fashion Suede Slip on,"605 
                     
                    394 ","605 SAR
                     
                    394 SAR",0
1784,Reserved,Double Strap Sandals,"145 
                     
                    118 ","145 SAR
                     
                    118 SAR",0
1785,EA7 Emporio Armani,Sea World Slides,"285 
                     
                    185 ","285 SAR
                     
                    185 SAR",0
1787,Robert Wood,Faux Suede Loafers,"119 
                     
                    95 ","119 SAR
                     
                    95 SAR",0
1788,Hero's Heroine,Logo Casual Sandals,"169 
                     
                    101 ","169 SAR
                     
                    101 SAR",1
1789,Asics,HyperGEL-Lyte,"550 
                     
                    413 ","550 SAR
                     
                    413 SAR",0
1790,Asics,Gelsaga,"490 
                     
                    319 ","490 SAR
                     
                    319 SAR",0
1791,Steve Madden,Driver Loafers,"449 
                     
                    225 ","449 SAR
                     
                    225 SAR",0
1792,Steve Madden,Italy Sneakers,"449 
                     
                    225 ","449 SAR
                     
                    225 SAR",0
1793,Call It Spring,Eppelheim Slip Ons,"209 
                     
                    167 ","209 SAR
                     
                    167 SAR",0
1795,Diesel,S-Kbay Camo Sneakers,"979 
                     
                    587 ","979 SAR
                     
                    587 SAR",1
1798,adidas,Predator 18.3 FG,"375 
                     
                    281 ","375 SAR
                     
                    281 SAR",0
1799,Steve Madden,Barry Perforated Sandals,"299 
                     
                    150 ","299 SAR
                     
                    150 SAR",0
1800,Aldo,Brilisen Sneaker,"299 
                     
                    179 ","299 SAR
                     
                    179 SAR",1
1801,Asics,GEL - Saga,"465 
                     
                    349 ","465 SAR
                     
                    349 SAR",1
1802,Nike,Phantom VSN Elite DF FG,"1299 
                     
                    974 ","1299 SAR
                     
                    974 SAR",1
1803,Seventy Five,Casual Sneakers,"130 
                     
                    52 ","130 SAR
                     
                    52 SAR",0
1804,Comfort Plus,Double Strap Sandals,175 ,175 SAR,0
1805,Skechers,Quillin- Saliano,260 ,260 SAR,0
1806,Lacoste,Chaymon  Sneakers,525 ,525 SAR,0
1808,Puma,Cell Phase,340 ,340 SAR,0
1809,Jack & Jones,Palm Logo Flip Flops,39 ,39 SAR,0
1811,Lacoste,Marice Slip Ons,289 ,289 SAR,0
1812,Puma,Persist XT Knit,275 ,275 SAR,1
1813,EA7 Emporio Armani,Logo Slides,209 ,209 SAR,0
1814,Steve Madden,Frenzy Slip Owns,279 ,279 SAR,0
1815,Reebok,Classics Leather,375 ,375 SAR,0
1816,FitFlop,Woven Arabian Sandals,449 ,449 SAR,0
1817,Topman,Mantis Loafers,329 ,329 SAR,0
1818,Ted Baker,Karney Laceups,579 ,579 SAR,0
1819,Tommy Hilfiger,Maxwell Sneakers,449 ,449 SAR,0
1820,Birkenstock,Arizona Double Strap Sandals,199 ,199 SAR,1
1821,Jack & Jones,Espadrille Slip Ons,95 ,95 SAR,1
1822,Vans,Slide-On,169 ,169 SAR,0
1825,Jack & Jones,Croxton Drop Strap Sandals,149 ,149 SAR,1
1826,Puma,Jaab XT,375 ,375 SAR,0
1828,Puma,Enzo Beta,320 ,320 SAR,0
1832,adidas,PulseBoost HD,649 ,649 SAR,0
1836,Superdry,AOP  Beach Slides,99 ,99 SAR,0
1837,Mango MAN,Triple Strap Leather Sandals,279 ,279 SAR,0
1839,Jack & Jones,Trent Sneakers,185 ,185 SAR,1
1842,Tommy Hilfiger,Essential Flag Pool Slides,195 ,195 SAR,0
1845,Tommy Hilfiger,City Modern Material Mix Runners,419 ,419 SAR,0
1846,FitFlop,Gogh Moc Sandals,449 ,449 SAR,0
1847,Puma,NRGY Comet,255 ,255 SAR,0
1848,Reebok,Black Aim MT,310 ,310 SAR,0
1849,Skechers,Pelem- Emiro,185 ,185 SAR,0
1850,adidas,Cosmic 2,300 ,300 SAR,0
1851,Slydes,Cali Logo Pool Slide,80 ,80 SAR,1
1853,Nike,Legend React,499 ,499 SAR,0
1855,Puma,Rapido TF,190 ,190 SAR,0
1856,adidas Originals,X_PLR,425 ,425 SAR,0
1858,Seventy Five,Webbing Detail Sneakers,119 ,119 SAR,1
1859,Fila,Disruptor 2,425 ,425 SAR,0
1865,adidas Originals,Deerupt,549 ,549 SAR,0
1866,Skechers,Dighton,230 ,230 SAR,0
1867,Puma,Suede Secret Garden,420 ,420 SAR,0
1869,Vans,Harry Potter Slytherin Era,289 ,289 SAR,0
1872,Puma,Hybrid Fuego,360 ,360 SAR,0
1873,Puma,Hybrid NX Daylight,440 ,440 SAR,0
1874,Under Armour,HOVR Phantom Highlighter,729 ,729 SAR,0
1875,Ecco,Melbourne Slip ons,649 ,649 SAR,1
1877,Nike,Flex 2019 RN SE,449 ,449 SAR,0
1879,Tommy Hilfiger,Iconic Material Mix Runners,459 ,459 SAR,0
1880,Nike,Reax 8 TR Mesh,449 ,449 SAR,0
1881,Seventy Five,Casual Sneakers,119 ,119 SAR,0
1883,Skechers,Overhaul - Darosa,245 ,245 SAR,0
1884,Jack & Jones,Larry Slides,75 ,75 SAR,1
1885,Birkenstock,Classic Arizona EVA Sandals,199 ,199 SAR,0
1887,Under Armour,HOVR Phantom Confetti,729 ,729 SAR,0
1890,Aldo,Cadaocia Sneakers,339 ,339 SAR,1
1892,Robert Wood,Velvet Casual Loafers,139 ,139 SAR,0
1894,Skechers,Crankton,310 ,310 SAR,0
1895,Topman,Henri Lace Trainer,175 ,175 SAR,0
1897,EA7 Emporio Armani,Logo Slide Sandals,209 ,209 SAR,0
1898,Jack & Jones,Larry Beach  Slides,75 ,75 SAR,0
1900,Reebok,Reago Pulse,340 ,340 SAR,0
1902,On Running,Cloudsurfer,790 ,790 SAR,0
1903,Jack & Jones,Mike Mesh Sneakers,220 ,220 SAR,0
1906,Nike,Zoom Stefan Janoski Canvas,449 ,449 SAR,0
1910,adidas,Terrex Tracerocker,375 ,375 SAR,0
1911,Superdry,Low Pro Sneakers,149 ,149 SAR,1
1912,Reebok,Flexagon 2.0 Flexweave LM,465 ,465 SAR,0
1914,Call It Spring,Ancroft Lace ups,239 ,239 SAR,0
1915,Skechers,Burns-Agoura,240 ,240 SAR,0
1916,adidas Originals,Samba OG,475 ,475 SAR,1
1919,Reebok,Royal EC Ride 3,270 ,270 SAR,0
1920,Jack & Jones,Bane PU Anthracite Sneakers,175 ,175 SAR,0
1921,Tommy Hilfiger,Summer Slip Ons,275 ,275 SAR,0
1922,Call It Spring,Ciliberti Slip ons,289 ,289 SAR,0
1923,Tommy Hilfiger,Chunky Material Mix  Trainers,585 ,585 SAR,0
1924,Burton,Saltie Mesh Slipons,130 ,130 SAR,0
1925,New Look,Bondi Tassel Loafers,189 ,189 SAR,0
1926,Call It Spring,Zalith Lace Ups,239 ,239 SAR,0
1927,Aldo,Aourell Slides,129 ,129 SAR,1
1928,Call It Spring,Nottoria Slip Ons,269 ,269 SAR,0
1929,adidas Originals,Forest Grove,375 ,375 SAR,0
